
TaskName                                                                  TaskPath                                                                  State
StartOobeAppsScan_LicenseAccepted                                         \Microsoft\Windows\UpdateOrchestrator\                                    Ready
StartOobeAppsScanAfterUpdate                                              \Microsoft\Windows\UpdateOrchestrator\                                    Ready
UIEOrchestrator                                                           \Microsoft\Windows\UpdateOrchestrator\                                    Ready
USO_UxBroker                                                              \Microsoft\Windows\UpdateOrchestrator\                                    Ready
UUS Failover Task                                                         \Microsoft\Windows\UpdateOrchestrator\                                    Ready
UPnPHostConfig                                                            \Microsoft\Windows\UPnP\                                               Disabled
UsageAndQualityInsights-MaintenanceTask                                   \Microsoft\Windows\UsageAndQualityInsights\                               Ready
Usb-Notifications                                                         \Microsoft\Windows\USB\                                                   Ready
HiveUploadTask                                                            \Microsoft\Windows\User Profile Service\                               Disabled
PerformRemediation                                                        \Microsoft\Windows\WaaSMedic\                                             Ready
WiFiTask                                                                  \Microsoft\Windows\WCM\                                                   Ready
ResolutionHost                                                            \Microsoft\Windows\WDI\                                                Disabled
ecloud Defender Scan Schedule                                             \Microsoft\Windows\Windows Defender\                                      Ready
Windows Defender Cache Maintenance                                        \Microsoft\Windows\Windows Defender\                                      Ready
Windows Defender Cleanup                                                  \Microsoft\Windows\Windows Defender\                                      Ready
Windows Defender Scheduled Scan                                           \Microsoft\Windows\Windows Defender\                                      Ready
Windows Defender Verification                                             \Microsoft\Windows\Windows Defender\                                      Ready
QueueReporting                                                            \Microsoft\Windows\Windows Error Reporting\                            Disabled
BfeOnServiceStartTypeChange                                               \Microsoft\Windows\Windows Filtering Platform\                         Disabled
UpdateLibrary                                                             \Microsoft\Windows\Windows Media Sharing\                              Disabled
InitialConfiguration                                                      \Microsoft\Windows\WindowsAI\Recall\                                   Disabled
PolicyConfiguration                                                       \Microsoft\Windows\WindowsAI\Recall\                                      Ready
InitialConfiguration                                                      \Microsoft\Windows\WindowsAI\Settings\                                    Ready
Calibration Loader                                                        \Microsoft\Windows\WindowsColorSystem\                                    Ready
Refresh Group Policy Cache                                                \Microsoft\Windows\WindowsUpdate\                                         Ready
Scheduled Start                                                           \Microsoft\Windows\WindowsUpdate\                                         Ready
CacheTask                                                                 \Microsoft\Windows\Wininet\                                             Running
CDSSync                                                                   \Microsoft\Windows\WlanSvc\                                               Ready
MoProfileManagement                                                       \Microsoft\Windows\WlanSvc\                                               Ready
WIM-Hash-Management                                                       \Microsoft\Windows\WOF\                                                Disabled
WIM-Hash-Validation                                                       \Microsoft\Windows\WOF\                                                Disabled
Work Folders Logon Synchronization                                        \Microsoft\Windows\Work Folders\                                          Ready
Work Folders Maintenance Work                                             \Microsoft\Windows\Work Folders\                                          Ready
Automatic-Device-Join                                                     \Microsoft\Windows\Workplace Join\                                     Disabled
Device-Sync                                                               \Microsoft\Windows\Workplace Join\                                     Disabled
Recovery-Check                                                            \Microsoft\Windows\Workplace Join\                                     Disabled
NotificationTask                                                          \Microsoft\Windows\WwanSvc\                                            Disabled
OobeDiscovery                                                             \Microsoft\Windows\WwanSvc\                                               Ready
XblGameSaveTask                                                           \Microsoft\XblGameSave\                                                Disabled
QianwenUpdaterTaskUser1.0.0.9{65DFD672-4136-4906-8989-870B5B0DEC85}       \QianwenUpdaterUser\QianwenUpdater\                                    Disabled
QuarkUpdaterTaskUser1.0.0.21{8B6A98BD-BCDA-4721-8B3B-9D96117ED6EB}        \QuarkUpdaterUser\QuarkUpdater\                                        Disabled



