食材维度,序号,名称,类别,出现回目
汤羹,93,桂圆汤,汤羹,第九十八回
汤羹,94,苡米野鸡汤,汤羹,无明确回目
汤羹,95,疗妒汤,汤羹,第八十回
汤羹,96,燕窝汤,其他,第十回
茶饮类,97,枫露茶,饮品,第八回
茶饮类,98,千红一窟,饮品,第五回
茶饮类,99,暹罗茶,饮品,第二十五回
茶饮类,100,六安茶,饮品,第四十一回
茶饮类,101,老君眉,饮品,第四十一回
茶饮类,102,普洱茶,饮品,第六十三回
茶饮类,103,女儿茶,饮品,第六十三回
茶饮类,104,龙井茶,饮品,第八十二回
茶饮类,105,木樨清露,饮品,第三十四回
茶饮类,106,玫瑰清露,饮品,第三十四回
茶饮类,107,酸梅汤,饮品,第三十四回
茶饮类,108,玫瑰露,饮品,第六十回
茶饮类,109,糖腌玫瑰卤子,饮品,第三十四回
茶饮类,110,洁粉梅片雪花洋糖,饮品,第四十五回
茶饮类,111,杏仁茶,饮品,第五十四回
茶饮类,112,惠泉酒,饮品,第十六回
茶饮类,113,屠苏酒,饮品,第五十三回
茶饮类,114,合欢酒,饮品,第三十八回
茶饮类,115,黄酒,饮品,第三十八回
茶饮类,116,烧酒,饮品,第三十八回
茶饮类,117,牛奶茯苓霜,饮品,第六十回
果品类,118,风干栗子,果品,第十九回
果品类,119,栗子,果品,第十九回
果品类,120,落花生仁,果品,无明确回目
果品类,121,开口松子,果品,无明确回目
果品类,122,松子穰,果品,无明确回目
果品类,123,纸皮桃仁,果品,无明确回目
果品类,124,鲜藕,果品,第二十六回
果品类,125,西瓜,果品,第二十六回
果品类,126,蜜饯荔枝,果品,第八十二回
果品类,127,红菱,果品,第三十七回
果品类,128,菱角,果品,无明确回目
果品类,129,鸡头,果品,第三十七回
果品类,130,鸡头米,果品,第三十七回
果品类,131,砂仁,果品,第六十三回
果品类,132,佛手,果品,第四十回
果品类,133,柚子,果品,第四十一回
果品类,134,枣儿,果品,第三十九回
果品类,135,倭瓜,果品,第三十九回
果品类,136,朱桔,果品,第五十回
果品类,137,黄橙,果品,第五十回
果品类,138,橄榄,果品,第五十回
果品类,139,李子,果品,无明确回目
果品类,140,蟠桃,果品,无明确回目
补品药材,141,人参,补品补食,第十回
补品药材,142,人参养荣丸,补品补食,第三回
补品药材,143,肉桂,补品补食,第四十五回
补品药材,144,燕窝,补品补食,第四十五回
补品药材,145,燕窝粥,主食粥饭,第四十五回
补品药材,146,冰糖燕窝粥,主食粥饭,第四十五回
补品药材,147,燕窝汤,其他,第十回
补品药材,148,琥珀燕窝,菜肴,无明确回目
补品药材,149,茯苓霜,补品补食,第六十回
补品药材,150,牛奶茯苓霜,补品补食,第六十回
补品药材,151,八珍益母丸,补品补食,第二十八回
补品药材,152,左归丸,补品补食,第二十八回
补品药材,153,右归丸,补品补食,第二十八回
补品药材,154,八味地黄丸,补品补食,第二十八回
补品药材,155,天王补心丹,补品补食,第二十八回
补品药材,156,冷香丸,补品补食,第七回
补品药材,157,香雪润津丹,补品补食,第三十回
补品药材,158,十香返魂丹,补品补食,第九十一回
补品药材,159,至宝丹,补品补食,第九十一回
补品药材,160,银耳鸽子蛋,补品补食,无明确回目
调味品,161,糟油,调味品,第四十一回
调味品,162,姜醋,调味品,第三十八回
调味品,163,酱,调味品,第四十二回
调味品,164,醋,调味品,第四十二回
调味品,165,盐,调味品,无明确回目
调味品,166,糖,调味品,无明确回目
调味品,167,蜜,调味品,无明确回目
调味品,168,花椒,调味品,无明确回目
其他综合,169,合欢汤,其他,第五十三回
其他综合,170,莲叶羹,其他,第三十五回
其他综合,171,荷叶莲蓬汤,汤羹,第三十五回
其他综合,172,燕窝汤,其他,第十回
其他综合,173,牛奶,其他,无明确回目
其他综合,174,酥酪,其他,第十九回
其他综合,175,糖蒸酥酪,点心,第十九回
其他综合,176,老蚌怀珠,菜肴,无明确回目
其他综合,177,怡红祝寿,菜肴,无明确回目
其他综合,178,白雪红梅,菜肴,无明确回目
