所属类别,所属子类,词条
衣（服饰妆饰）,颜色纹样,如意纹
衣（服饰妆饰）,颜色纹样,云纹
衣（服饰妆饰）,颜色纹样,蟒纹
衣（服饰妆饰）,首饰佩饰,步摇
衣（服饰妆饰）,首饰佩饰,珠花
衣（服饰妆饰）,首饰佩饰,宫花
衣（服饰妆饰）,首饰佩饰,花钿
衣（服饰妆饰）,首饰佩饰,翠钿
衣（服饰妆饰）,首饰佩饰,耳环
衣（服饰妆饰）,首饰佩饰,耳坠
衣（服饰妆饰）,首饰佩饰,耳珰
衣（服饰妆饰）,首饰佩饰,手镯
衣（服饰妆饰）,首饰佩饰,玉镯
衣（服饰妆饰）,首饰佩饰,璎珞
衣（服饰妆饰）,首饰佩饰,玉玦
衣（服饰妆饰）,首饰佩饰,玉坠
衣（服饰妆饰）,首饰佩饰,玉麒麟
衣（服饰妆饰）,首饰佩饰,珠串
衣（服饰妆饰）,首饰佩饰,串珠
衣（服饰妆饰）,首饰佩饰,佛珠
衣（服饰妆饰）,首饰佩饰,手串
衣（服饰妆饰）,首饰佩饰,折扇
衣（服饰妆饰）,首饰佩饰,绦带
衣（服饰妆饰）,首饰佩饰,金带
衣（服饰妆饰）,首饰佩饰,蜜蜡
衣（服饰妆饰）,妆饰脂粉,香粉
衣（服饰妆饰）,妆饰脂粉,药膏
衣（服饰妆饰）,妆饰脂粉,净面
衣（服饰妆饰）,妆饰脂粉,挽髻
衣（服饰妆饰）,妆饰脂粉,剪发
衣（服饰妆饰）,妆饰脂粉,剃头
衣（服饰妆饰）,妆饰脂粉,染指甲
衣（服饰妆饰）,缝织浆洗,剪裁
衣（服饰妆饰）,缝织浆洗,缝纫
衣（服饰妆饰）,缝织浆洗,刺绣
衣（服饰妆饰）,缝织浆洗,纳鞋
衣（服饰妆饰）,缝织浆洗,绱鞋
衣（服饰妆饰）,缝织浆洗,洗浆
衣（服饰妆饰）,缝织浆洗,染坊
食（饮膳茶酒）,主食饭粥,糙米饭
食（饮膳茶酒）,主食饭粥,白粥
食（饮膳茶酒）,主食饭粥,枣儿粥
食（饮膳茶酒）,主食饭粥,莲叶羹
食（饮膳茶酒）,主食饭粥,面汤
食（饮膳茶酒）,主食饭粥,饺子
食（饮膳茶酒）,主食饭粥,馄饨
食（饮膳茶酒）,主食饭粥,汤圆
食（饮膳茶酒）,主食饭粥,凉糕
食（饮膳茶酒）,主食饭粥,藕粉糕
食（饮膳茶酒）,主食饭粥,糯米
食（饮膳茶酒）,主食饭粥,糙米
食（饮膳茶酒）,菜肴珍馐,炸鹌鹑
食（饮膳茶酒）,菜肴珍馐,火腿炖肘子
食（饮膳茶酒）,菜肴珍馐,炖肘子
食（饮膳茶酒）,菜肴珍馐,糟鹅掌
食（饮膳茶酒）,菜肴珍馐,糟鹅掌鸭信
食（饮膳茶酒）,菜肴珍馐,鸭信
食（饮膳茶酒）,菜肴珍馐,熏鸭
食（饮膳茶酒）,菜肴珍馐,糟鱼
食（饮膳茶酒）,菜肴珍馐,熏鱼
食（饮膳茶酒）,菜肴珍馐,蒸蟹
食（饮膳茶酒）,菜肴珍馐,牛肉
食（饮膳茶酒）,菜肴珍馐,獐子肉
食（饮膳茶酒）,菜肴珍馐,果子狸
食（饮膳茶酒）,菜肴珍馐,风腌果子狸
食（饮膳茶酒）,菜肴珍馐,烧野鸡
食（饮膳茶酒）,菜肴珍馐,烤鹿肉
食（饮膳茶酒）,菜肴珍馐,猪油
食（饮膳茶酒）,菜肴珍馐,板栗烧鸡
食（饮膳茶酒）,菜肴珍馐,烩
食（饮膳茶酒）,菜肴珍馐,小荷叶莲蓬汤
食（饮膳茶酒）,菜肴珍馐,豆腐皮包子
食（饮膳茶酒）,菜肴珍馐,内造点心
食（饮膳茶酒）,菜肴珍馐,小吃
食（饮膳茶酒）,菜肴珍馐,冷盘
食（饮膳茶酒）,菜肴珍馐,菜肴
食（饮膳茶酒）,点心糕点,瓜仁油松瓤月饼
食（饮膳茶酒）,点心糕点,奶油炸各色小面果
食（饮膳茶酒）,点心糕点,桂花糖蒸新栗粉糕
食（饮膳茶酒）,点心糕点,藕粉桂糖糕
食（饮膳茶酒）,点心糕点,枣泥馅山药糕
食（饮膳茶酒）,点心糕点,杏酪
食（饮膳茶酒）,点心糕点,糕饼
食（饮膳茶酒）,点心糕点,糖食
食（饮膳茶酒）,酒茶饮品,白酒
食（饮膳茶酒）,酒茶饮品,绍酒
食（饮膳茶酒）,酒茶饮品,合欢酒
食（饮膳茶酒）,酒茶饮品,暹罗茶
食（饮膳茶酒）,酒茶饮品,杏仁茶
食（饮膳茶酒）,酒茶饮品,羊乳
食（饮膳茶酒）,酒茶饮品,蜂蜜
食（饮膳茶酒）,酒茶饮品,木樨露
食（饮膳茶酒）,滋补药膳,银耳
食（饮膳茶酒）,滋补药膳,人参汤
食（饮膳茶酒）,滋补药膳,西洋参
食（饮膳茶酒）,滋补药膳,药丸
食（饮膳茶酒）,滋补药膳,益母草
食（饮膳茶酒）,滋补药膳,六味地黄丸
食（饮膳茶酒）,滋补药膳,梨膏
食（饮膳茶酒）,果品干果,香瓜
食（饮膳茶酒）,果品干果,黑枣
食（饮膳茶酒）,果品干果,板栗
食（饮膳茶酒）,果品干果,松子
食（饮膳茶酒）,果品干果,柿
食（饮膳茶酒）,果品干果,柿子
食（饮膳茶酒）,果品干果,柑
食（饮膳茶酒）,果品干果,杨梅
食（饮膳茶酒）,果品干果,枇杷
食（饮膳茶酒）,果品干果,芡实
食（饮膳茶酒）,果品干果,橄榄脯
食（饮膳茶酒）,蔬菜调料,青菜
食（饮膳茶酒）,蔬菜调料,蒌蒿
食（饮膳茶酒）,蔬菜调料,芹菜
食（饮膳茶酒）,蔬菜调料,蔓菁
食（饮膳茶酒）,蔬菜调料,豆干
食（饮膳茶酒）,蔬菜调料,竹笋
食（饮膳茶酒）,蔬菜调料,花椒
食（饮膳茶酒）,蔬菜调料,胡麻
食（饮膳茶酒）,蔬菜调料,酱油
食（饮膳茶酒）,蔬菜调料,调料
食（饮膳茶酒）,饮馔器具,调羹
食（饮膳茶酒）,饮馔器具,勺
食（饮膳茶酒）,饮馔器具,犀角杯
食（饮膳茶酒）,饮馔器具,琉璃盏
食（饮膳茶酒）,饮馔器具,成窑杯
食（饮膳茶酒）,饮馔器具,竹根杯
食（饮膳茶酒）,饮馔器具,小厨房
食（饮膳茶酒）,饮馔器具,案板
食（饮膳茶酒）,宴饮起居,宴席
食（饮膳茶酒）,宴饮起居,赏花宴
食（饮膳茶酒）,宴饮起居,螃蟹宴
食（饮膳茶酒）,宴饮起居,生日宴
食（饮膳茶酒）,宴饮起居,让酒
食（饮膳茶酒）,宴饮起居,划拳
食（饮膳茶酒）,宴饮起居,饮茶
食（饮膳茶酒）,宴饮起居,用膳
住（居所陈设）,建筑形制,配房
住（居所陈设）,建筑形制,厅堂
住（居所陈设）,建筑形制,跨院
住（居所陈设）,建筑形制,后花园
住（居所陈设）,建筑形制,抄手游廊
住（居所陈设）,建筑形制,月亮门
住（居所陈设）,建筑形制,天井
住（居所陈设）,园林景致,太湖石
住（居所陈设）,园林景致,湘竹
住（居所陈设）,室内陈设,架子床
住（居所陈设）,室内陈设,暖床
住（居所陈设）,室内陈设,竹榻
住（居所陈设）,室内陈设,炕床
住（居所陈设）,室内陈设,炕几
住（居所陈设）,室内陈设,方桌
住（居所陈设）,室内陈设,书案
住（居所陈设）,室内陈设,条案
住（居所陈设）,室内陈设,案几
住（居所陈设）,室内陈设,茶几
住（居所陈设）,室内陈设,凳子
住（居所陈设）,室内陈设,榻几
住（居所陈设）,室内陈设,衣架
住（居所陈设）,室内陈设,插屏
住（居所陈设）,室内陈设,纱帘
住（居所陈设）,室内陈设,窗帘
住（居所陈设）,室内陈设,门帘
住（居所陈设）,室内陈设,蚊帐
住（居所陈设）,室内陈设,帷幔
住（居所陈设）,室内陈设,玻璃灯
住（居所陈设）,室内陈设,铜镜
住（居所陈设）,室内陈设,梳妆台
住（居所陈设）,室内陈设,拜匣
住（居所陈设）,室内陈设,唾壶
住（居所陈设）,室内陈设,水盆
住（居所陈设）,室内陈设,面盆
住（居所陈设）,室内陈设,木盆
住（居所陈设）,室内陈设,澡盆
住（居所陈设）,室内陈设,毛巾
住（居所陈设）,床帐被褥,被子
住（居所陈设）,床帐被褥,卧褥
住（居所陈设）,床帐被褥,靠枕
住（居所陈设）,床帐被褥,卧具
住（居所陈设）,床帐被褥,竹席
住（居所陈设）,床帐被褥,凉席
住（居所陈设）,床帐被褥,毯子
住（居所陈设）,床帐被褥,地毯
住（居所陈设）,起居生活,花圃
住（居所陈设）,起居生活,搬迁
住（居所陈设）,起居生活,寓居
住（居所陈设）,起居生活,借住
住（居所陈设）,起居生活,起床
住（居所陈设）,起居生活,洗漱
住（居所陈设）,起居生活,开窗
行（车马出行）,车轿舟船,官轿
行（车马出行）,车轿舟船,八抬大轿
行（车马出行）,车轿舟船,绿呢轿
行（车马出行）,车轿舟船,马车
行（车马出行）,车轿舟船,骡车
行（车马出行）,车轿舟船,车帷
行（车马出行）,车轿舟船,小船
行（车马出行）,车轿舟船,楼船
行（车马出行）,车轿舟船,游船
行（车马出行）,车轿舟船,渡船
行（车马出行）,车轿舟船,舟楫
行（车马出行）,车轿舟船,橹
行（车马出行）,车轿舟船,划船
行（车马出行）,车轿舟船,乘船
行（车马出行）,车轿舟船,摆渡
行（车马出行）,车轿舟船,竹筏
行（车马出行）,牲畜坐骑,骏马
行（车马出行）,牲畜坐骑,马匹
行（车马出行）,牲畜坐骑,马厩
行（车马出行）,牲畜坐骑,马鞍
行（车马出行）,牲畜坐骑,缰
行（车马出行）,牲畜坐骑,驴车
行（车马出行）,出行活动,上路
行（车马出行）,出行活动,启程
行（车马出行）,出行活动,行路
行（车马出行）,出行活动,洗尘
行（车马出行）,出行活动,返乡
行（车马出行）,出行活动,巡幸
行（车马出行）,出行活动,出巡
行（车马出行）,出行活动,巡游
行（车马出行）,出行活动,郊游
行（车马出行）,出行活动,踏青
行（车马出行）,出行活动,散步
行（车马出行）,出行活动,送葬
行（车马出行）,出行活动,科考
行（车马出行）,出行活动,赴试
行（车马出行）,出行活动,赶集
行（车马出行）,出行活动,赶市
行（车马出行）,出行活动,亲迎
行（车马出行）,出行活动,送嫁
行（车马出行）,出行活动,借宿
行（车马出行）,出行活动,投宿
行（车马出行）,出行活动,客店
行（车马出行）,出行活动,客栈
行（车马出行）,出行活动,驿站
行（车马出行）,道路街巷,小路
行（车马出行）,道路街巷,山路
行（车马出行）,道路街巷,集市
行（车马出行）,道路街巷,码头
行（车马出行）,道路街巷,港口
行（车马出行）,道路街巷,关口
行（车马出行）,道路街巷,城墙
行（车马出行）,道路街巷,郊区
行（车马出行）,道路街巷,闹市
行（车马出行）,行装行李,行囊
行（车马出行）,行装行李,车舆
行（车马出行）,行装行李,雨伞
