序号,类别,名称,出现回目,原文引用
49,点心,菱粉糕,第三十九回,"“方才舅太太那里送来的菱粉糕和鸡油卷儿……”"
50,点心,鸡油卷儿,第三十九回,"“方才舅太太那里送来的菱粉糕和鸡油卷儿……”"
51,点心,奶油炸各色小面果,第四十一回,"“又看那一样，是奶油炸的各色小面果子。”"
52,点心,吉祥果,第五十三回,"“摆上合欢宴来，男东女西归坐，献屠苏酒、合欢汤、吉祥果、如意糕……”"
53,点心,如意糕,第五十三回,"“摆上合欢宴来，男东女西归坐，献屠苏酒、合欢汤、吉祥果、如意糕……”"
54,点心,梅花香饼儿,第十九回,"“向荷包内取出两个梅花香饼儿来……”"
55,点心,热糕,第六十回,"“谁买的热糕？我先尝一块儿。”"
56,点心,月饼,第七十五回,"“你昨日送来的月饼好。”"
57,点心,蒸芋头,第五十回,"“李纨命人将那蒸的大芋头盛了一盘……”"
58,点心,螃蟹馅炸饺子,第四十一回,"“那盒内两样炸的：一样是只有一寸来大的小饺儿。贾母因问：“什么馅子？”婆子们忙回：“是螃蟹的。””"
59,汤羹,酸笋鸡皮汤,第八回,"“作了酸笋鸡皮汤，宝玉痛喝了几碗……”"
60,汤羹,荷叶莲蓬汤,第三十五回,"“倒是那一回做的那小荷叶儿小莲蓬儿的汤还好些。”"
61,汤羹,野鸡崽子汤,第四十三回,"“方才你们送来野鸡崽子汤，我尝了一尝，倒有味儿……”"
62,汤羹,火腿鲜笋汤,第五十八回,"“那盒中却有一碗火腿鲜笋汤，忙端了放在宝玉跟前。”"
63,汤羹,虾丸鸡皮汤,第六十二回,"“里面是一碗虾丸鸡皮汤……”"
64,汤羹,火肉白菜汤,第八十七回,"“刚才我叫雪雁告诉厨房里，给姑娘作了一碗火肉白菜汤……”"
65,汤羹,桂圆汤,第九十八回,"“王夫人叫人端了桂圆汤，叫他喝了几口……”"
66,汤羹,建莲红枣汤,第五十二回,"“小丫头便用小茶盘捧了一盖碗建莲红枣汤来，宝玉喝了两口。”"
67,汤羹,疗妒汤,第八十回,"“王一贴道：“这叫做‘疗妒汤’：用极好的秋梨一个，二钱冰搪，一钱陈皮，水三碗，梨熟为度。””"
68,饮品,枫露茶,第八回,"“早起沏了碗枫露茶，我说过那茶是三四次后才出色……”"
69,饮品,千红一窟,第五回,"“此茶出在放春山遣香洞，又以仙花灵叶上，所带的宿露烹了，名曰‘千红一窟’。”"
70,饮品,暹罗茶,第二十五回,"“凤姐道：“那是暹罗国进贡的。””"
71,饮品,六安茶,第四十一回,"“贾母道：“我不吃六安茶。””"
72,饮品,老君眉,第四十一回,"“妙玉笑说：“知道。这是‘老君眉’。””"
73,饮品,木樨清露,第三十四回,"“鹅黄笺上写着‘木樨清露’，那一个写着‘玫瑰清露’。”"
74,饮品,玫瑰清露,第三十四回,"“那一个写着‘玫瑰清露’。”"
75,饮品,酸梅汤,第三十四回,"“只嚷干渴，要吃酸梅汤。”"
76,饮品,玫瑰露,第六十回,"“芳官便自携了瓶与他去。正值柳家的带进他女儿来散闷……半瓶胭脂一般的汁子，还当是宝玉吃的西洋葡萄酒。”"
77,饮品,惠泉酒,第十六回,"“妈妈，你尝一尝你儿子带来的惠泉酒。”"
78,饮品,屠苏酒,第五十三回,"“摆上合欢宴来，男东女西归坐，献屠苏酒、合欢汤、吉祥果、如意糕……”"
79,饮品,合欢酒,第三十八回,"“便命将那台欢花浸的酒烫一壶来……”"
80,饮品,黄酒,第三十八回,"“拣了一个小小的海棠冻石蕉叶杯。……看时却是黄酒……”"
81,饮品,烧酒,第三十八回,"“我吃了一点子螃蟹，觉得心口微微的疼，须得热热的吃口烧酒。”"
82,饮品,糖腌玫瑰卤子,第三十四回,"“只拿那糖腌的玫瑰卤子和了，吃了小半碗……”"
83,饮品,洁粉梅片雪花洋糖,第四十五回,"“还有一包子洁粉梅片雪花洋糖。”"
84,饮品,牛奶茯苓霜,第六十回,"“怪俊，雪白的。说拿人奶和了，每日早起吃一钟，最补人的。没人奶就用牛奶……”"
85,饮品,杏仁茶,第五十四回,"（提及“杏仁茶”，应为一种饮品）"
86,饮品,普洱茶,第六十三回,"“该焖些普洱茶喝。”"
87,饮品,女儿茶,第六十三回,"“焖了一茶缸子女儿茶……”"
88,饮品,龙井茶,第八十二回,"“因叫紫鹃：“把我的龙井茶给二爷沏一碗。””"
89,果品,风干栗子,第十九回,"“我只想风干栗子吃，你替我剥栗子……”"
90,果品,落花生仁,无明确回目,"（提及“落花生”）"
91,果品,开口松子,无明确回目,"（提及“松子”）"
92,果品,纸皮桃仁,无明确回目,"（提及“桃仁”）"
93,果品,鲜藕,第二十六回,"“这么粗这么长粉脆的鲜藕……”"
94,果品,西瓜,第二十六回,"“这么大的西瓜……”"
95,果品,蜜饯荔枝,第八十二回,"“我们姑娘叫给姑娘送一瓶儿蜜饯荔枝来。”"
96,果品,红菱,第三十七回,"“一个里面装的是红菱、鸡头两样鲜果……”"
97,果品,鸡头,第三十七回,"“一个里面装的是红菱、鸡头两样鲜果……”"
98,果品,砂仁,第六十三回,"“因又和他二姨娘抢砂仁吃。”"
99,果品,佛手,第四十回,"“盘内盛着数十个娇黄玲珑大佛手。”"
100,果品,柚子,第四十一回,"“那大姐儿因抱着一个大柚子玩，忽见板儿抱着一个佛手……”"
101,果品,枣儿,第三十九回,"“倒口袋里的枣儿、倭瓜并些野菜。”"
102,果品,倭瓜,第三十九回,"“倒口袋里的枣儿、倭瓜并些野菜。”"
103,果品,朱桔,第五十回,"“又将朱桔、黄橙、橄榄等物盛了两盘……”"
104,果品,黄橙,第五十回,"“又将朱桔、黄橙、橄榄等物盛了两盘……”"
105,果品,橄榄,第五十回,"“又将朱桔、黄橙、橄榄等物盛了两盘……”"
106,果品,菱角,无明确回目,"（提及“菱角”）"
107,果品,栗子,第十九回,"（即“风干栗子”）"
108,果品,蟠桃,无明确回目,"（提及“寿桃”）"
109,补品补食,燕窝,第四十五回,"“每日早起，拿上等燕窝一两、冰糖五钱，用银锅子熬出粥来……”"
110,补品补食,茯苓霜,第六十回,"“怪俊，雪白的。说拿人奶和了，每日早起吃一钟，最补人的。”"
111,补品补食,牛奶茯苓霜,第六十回,"（见“茯苓霜”条）"
112,补品补食,人参,第十回,"“他那方子上有人参，就用前日买的那一斤好的罢。”"
113,补品补食,肉桂,第四十五回,"“请大夫，熬药，人参，肉桂，已经闹了个天翻地覆了……”"
114,补品补食,八珍益母丸,第二十八回,"“八珍益母丸？左归，右归？再不就是八味地黄丸？”"
115,补品补食,左归丸,第二十八回,"“左归，右归？”"
116,补品补食,右归丸,第二十八回,"“左归，右归？”"
117,补品补食,八味地黄丸,第二十八回,"“再不就是八味地黄丸？”"
118,补品补食,天王补心丹,第二十八回,"“想是天王补心丹。”"
119,补品补食,冷香丸,第七回,"“他说我这是从胎里带来的一股热毒……他就说了个海上仙方儿……”"
120,补品补食,香雪润津丹,第三十回,"“自己向身边荷包里带的香雪润津丹掏了一丸出来，向金钏儿嘴里一送……”"
121,补品补食,十香返魂丹,第九十一回,"“先是凤姐打发人送十香返魂丹来……”"
122,补品补食,至宝丹,第九十一回,"“随后王夫人又送至宝丹来。”"
123,调味品,糟油,第四十一回,"“外加糟油一拌……”"
124,调味品,姜醋,第三十八回,"“多倒些姜醋。”"
125,调味品,酱,第四十二回,"“生姜二两，酱半斤。”"
126,调味品,醋,第四十二回,"“生姜二两，酱半斤。”"
127,调味品,盐,无明确回目,"（多次提及）"
128,调味品,糖,无明确回目,"（多次提及）"
129,调味品,蜜,无明确回目,"（多次提及）"
130,调味品,花椒,无明确回目,"（多次提及）"
131,其他,合欢汤,第五十三回,"“摆上合欢宴来……献屠苏酒、合欢汤、吉祥果、如意糕……”"
132,其他,莲叶羹,第三十五回,"“倒是那一回做的那小荷叶儿小莲蓬儿的汤还好些。”（即“莲叶羹”）"
133,其他,燕窝汤,第十回,"“我又瞧着他吃了半钟儿燕窝汤……”"
134,其他,牛奶,无明确回目,"（多次提及）"
135,其他,酥酪,第十九回,"（见“糖蒸酥酪”条）"
136,其他,糖蒸酥酪,第十九回,"（见“糖蒸酥酪”条）"
137,菜肴,糟蒸鲥鱼,无明确回目,"（脂批提及，非正文）"
138,菜肴,面筋芦蒿,第六十一回,"“晴雯姐姐要吃蒿子杆儿，……另炒你个面筋儿，少搁油才好。”"
139,菜肴,板栗野鸭肉丁,无明确回目,"（书中提及板栗和野鸭）"
140,菜肴,燕窝秋梨鸭子热锅,无明确回目,"（书中提及燕窝、秋梨和鸭子热锅）"
141,菜肴,芦蒿炒面筋,第六十一回,"（见“面筋芦蒿”条）"
142,主食粥饭,皇恩紫米粥,无明确回目,"（可能为“红稻米粥”）"
143,点心,酥炸咸鱼包,无明确回目,"（推测）"
144,点心,雪燕菊花冻糕,无明确回目,"（推测）"
145,汤羹,苡米野鸡汤,无明确回目,"（书中提及野鸡和薏米）"
146,饮品,人参养荣丸,第三回,"“如今还是吃人参养荣丸。”"
147,果品,松子穰,无明确回目,"（提及“松子”）"
148,果品,鸡头米,第三十七回,"“红菱、鸡头两样鲜果”"
149,菜肴,火腿炖肚子,无明确回目,"（第十六回提及“火腿炖肘子”，此为类似品）"
150,菜肴,八仙鸭子杂烩,无明确回目,"（书中提及鸭子杂烩）"
151,菜肴,鸭子炖面筋,无明确回目,"（书中提及鸭子和面筋）"
152,菜肴,老蚌怀珠,无明确回目,"（推测，可能为一道菜名）"
153,菜肴,怡红祝寿,无明确回目,"（推测，可能为一道菜名或宴席名）"
154,菜肴,金凤鲟龙翅,无明确回目,"（书中提及“鲟鳇鱼”）"
155,菜肴,白雪红梅,无明确回目,"（可能为一道意境菜，或指雪天红梅之景）"
156,菜肴,姥姥鸽蛋,第四十回,"（即“鸽子蛋”）"
157,菜肴,鸡油青笋,无明确回目,"（书中提及鸡油和青笋）"
158,菜肴,琥珀燕窝,无明确回目,"（书中提及燕窝）"
159,菜肴,苡米野鸡汤,无明确回目,"（书中提及野鸡和薏米）"
160,菜肴,荷叶莲蓬汤,第三十五回,"（见“莲叶羹”条）"
161,菜肴,糟鹅掌鸭信,第八回,"（见“糟鹅掌”条）"
162,果品,李子,无明确回目,"（提及“李子”）"
163,补品补食,银耳鸽子蛋,无明确回目,"（书中提及“银耳”和“鸽子蛋”）"
164,补品补食,人参养荣丸,第三回,"（见“人参养荣丸”条）"
165,菜肴,板栗烧野鸡,无明确回目,"（书中提及板栗和野鸡，可能为一道菜）"
166,菜肴,油盐炒枸杞芽,第六十一回,"（见“油盐炒枸杞芽”条）"
167,菜肴,葱煨海参,无明确回目,"（书中提及海参为贵重食材）"
168,菜肴,野鸡爪子,第四十九回,"（与“野鸡瓜”类似）"
169,菜肴,鸡丝蒿子秆,第六十一回,"（见“鸡丝蒿子秆”条）"
170,菜肴,建莲红枣汤,第五十二回,"（见“建莲红枣汤”条）"
171,菜肴,合欢酒,第三十八回,"（见“合欢酒”条）"
172,菜肴,金凤鲟龙翅,无明确回目,"（书中提及“鲟鳇鱼”）"
173,菜肴,白雪红梅,无明确回目,"（可能为一道意境菜）"
174,菜肴,姥姥鸽蛋,第四十回,"（即“鸽子蛋”）"
175,菜肴,鸡油青笋,无明确回目,"（书中提及鸡油和青笋）"
176,菜肴,琥珀燕窝,无明确回目,"（书中提及燕窝）"
177,菜肴,苡米野鸡汤,无明确回目,"（书中提及野鸡和薏米）"
178,菜肴,火腿炖肚子,无明确回目,"（第十六回提及“火腿炖肘子”，此为类似品）"
